-134504	А	Алай			Алай	
-134379	В	Вілсон Ч.			Вілсон Ч.	
-134372	П	Прімо Леві	Леві		Прімо	
-134371	К	Кралюк Петро	Петро		Кралюк	
-134369	Д	Дорр Ентоні	Ентоні		Дорр	
-134367	Б	Бердинських Крістіна	Крістіна		Бердинських	
-134351	Г	Гук Юлія	Юлія		Гук	
-134350	К	Карп'юк Василь	Василь		Карп'юк	
-134349	Б	Беспалов Максим	Максим		Беспалов	
-134337	Ш	Шкляр Василь Миколайович	Василь	Миколайович	Шкляр	
-134335	Б	Бутченко Максим Анатолійович	Максим	Анатолійович	Бутченко	
-134314	Ц	Циганчук Ксенія	Ксенія		Циганчук	
-134312	К	Кузьменко Ольга	Ольга		Кузьменко	
-134311	П	Постоловський Сергій Русланович	Сергій	Русланович	Постоловський	
-134292	К	Кініллі Томас	Томас		Кініллі	
-134072	О	Огульчанський Олексій	Олексій		Огульчанський	
-134070	Л	Ларссон Стіґ	Стіґ		Ларссон	
-133939	М	Мелвілл Генріх	Генріх		Мелвілл	
-133912	С	Стівен Кінг	Стівен	Кінг		
